PLATEALPHA,PLATENUMBER,PLATE_ID
SEA,1336,P10001
SCT,8670,P10002
PCI,6163,P10003
PBZ,7899,P10004
SDI,0071,P10005
JQI,6808,P10006
SFT,1216,P10007
PPF,1206,P10008
SOV,3983,P10009
SEQ,8204,P10010
SQV,2789,P10011
PLG,3919,P10012
SWC,9835,P10013
SOQ,4576,P10014
WGH,5214,P10015
STK,6484,P10016
SQH,0031,P10017
JCI,1844,P10018
PYX,5953,P10019
WIQ,4983,P10020
SYU,2452,P10021
SRH,5497,P10022
SNC,5882,P10023
WRY,6211,P10024
JKP,5623,P10025
POP,4768,P10026
SJD,7477,P10027
SIB,0880,P10028
WTA,7865,P10029
SAB,6262,P10030
SOI,0774,P10031
SKB,8127,P10032
POJ,8615,P10033
SXH,1329,P10034
SIV,2456,P10035
JHD,6392,P10036
SBZ,5359,P10037
PJW,0243,P10038
SGO,5374,P10039
SVW,0213,P10040
SLU,7871,P10041
SJN,3274,P10042
PQR,0692,P10043
SZG,5088,P10044
SLG,2557,P10045
SYT,4792,P10046
PNK,0893,P10047
SET,7612,P10048
SJQ,5675,P10049
JMC,3295,P10050
TLF,7337,P10051
TGA,2016,P10052
TAU,2399,P10053
TFR,5801,P10054
TIF,0433,P10055
TTG,2433,P10056
TTI,0641,P10057
TZL,3353,P10058
TKT,9596,P10059
TXD,0389,P10060
TTR,9364,P10061
TSZ,2883,P10062
TGE,2981,P10063
TZL,7242,P10064
TSC,9855,P10065
TRN,4121,P10066
TVP,3174,P10067
TVQ,5828,P10068
TCF,9615,P10069
TTZ,9634,P10070
TBY,1828,P10071
TWF,7198,P10072
TVQ,1244,P10073
TKV,1668,P10074
TUP,4758,P10075
TYN,7427,P10076
TJL,9982,P10077
TMV,9725,P10078
TFZ,4649,P10079
TOW,5783,P10080
GGG,8879,P10082
GG2,8879,P10083
